day_bin,tb_polarity,vader_compound,dpy,condition
0,-0.019312518480433548,0.009401677852348994,1,baseline
0,-0.018944557828380483,0.005773309608540925,1,trauma
0,-0.01981336537140109,0.03327444444444445,12,baseline
50,-0.02230281448098612,0.06312238805970148,12,baseline
100,0.0034802686462842743,0.04393125,12,baseline
150,-0.05987869769119769,-0.05315,12,baseline
200,-0.04021602934102934,-0.03131333333333333,12,baseline
250,-0.11545238095238097,-0.0032999999999999917,12,baseline
0,0.03283859861501614,0.011110309278350515,12,trauma
50,-0.020543831168831173,0.007848051948051951,12,trauma
100,-0.0066732804232804204,-0.008109259259259259,12,trauma
150,-0.018313471330712712,-0.07928275862068966,12,trauma
200,-0.01639047552241997,0.17263333333333333,12,trauma
250,0.029329286165223692,0.096575,12,trauma
50,0.04923913043478261,-0.0006173913043478232,52,baseline
100,0.09900255177828707,0.10119411764705882,52,baseline
150,-0.00557208994708995,-0.006305555555555554,52,baseline
200,0.015611942070275404,0.11200384615384616,52,baseline
250,0.014808050745550742,-0.06586666666666667,52,baseline
300,-0.016077441077441076,-0.06651538461538462,52,baseline
350,0.10290123456790123,0.05207333333333333,52,baseline
400,-0.017311056998556996,0.09483,52,baseline
450,-0.08348595848595848,-0.03557692307692307,52,baseline
500,-0.01832107843137256,-0.01449999999999999,52,baseline
550,-0.07436892068836515,-0.244175,52,baseline
600,-0.08430905032467532,0.0645125,52,baseline
650,0.08433351370851372,0.21647857142857146,52,baseline
700,-0.0907828282828283,0.013163636363636357,52,baseline
750,-0.008812830687830694,0.24993333333333334,52,baseline
800,-0.06816486291486291,-0.07931000000000002,52,baseline
850,0.08402777777777777,0.013450000000000005,52,baseline
900,-0.15138888888888888,-0.0023000000000000056,52,baseline
950,-0.0656060606060606,0.11768333333333332,52,baseline
1000,0.0,-0.58855,52,baseline
1050,-0.6,-0.3818,52,baseline
1100,-0.1824074074074074,0.7714,52,baseline
1150,0.4,0.6249,52,baseline
50,0.03895449308755761,0.05651612903225806,52,trauma
100,-0.003574735449735447,-0.13936666666666667,52,trauma
150,-0.09764257154882154,-0.04703749999999999,52,trauma
200,-0.2535194911297852,-0.06796470588235294,52,trauma
250,-0.031862230940355944,0.12593,52,trauma
300,-0.07884988275613276,-0.01798749999999999,52,trauma
350,0.03648989898989899,-0.009295454545454546,52,trauma
400,-0.14450757575757578,-0.06352727272727274,52,trauma
450,-0.1554136520045611,-0.0299076923076923,52,trauma
500,-0.0684375,-0.029458333333333347,52,trauma
550,-0.09334641053391053,0.2702333333333333,52,trauma
600,-0.06737248862248861,0.1401,52,trauma
650,-0.06886679292929293,-0.0018250000000000026,52,trauma
700,-0.06473214285714285,-0.092775,52,trauma
750,0.10622727272727273,0.27895000000000003,52,trauma
800,0.14654761904761907,0.31151428571428574,52,trauma
850,0.04874751984126983,0.07603333333333333,52,trauma
900,-0.06904761904761905,0.015642857142857142,52,trauma
950,-0.11176587301587303,-0.1577,52,trauma
1000,0.08682539682539683,0.60208,52,trauma
1050,-0.11458333333333334,0.1537,52,trauma
1100,-0.1525,-0.547,52,trauma
1150,0.0,0.0,52,trauma
350,-0.02305188923395445,-0.08539130434782609,365,baseline
700,-0.08800705467372133,0.05653333333333335,365,baseline
1050,0.12482323232323234,0.044168181818181815,365,baseline
1450,-0.05382178409352322,-0.2767434782608696,365,baseline
1800,0.02107744107744108,0.0044142857142857195,365,baseline
2150,-0.0017647707231040507,-0.05011111111111112,365,baseline
350,-0.002295574795574793,0.00406,365,trauma
700,-0.03645765801562902,-0.08231739130434783,365,trauma
1050,-0.05719321188071187,-0.15710454545454544,365,trauma
1450,-0.0672126984126984,0.141452,365,trauma
1800,-0.08185625047467152,0.2499578947368421,365,trauma
